max_cc cc_shift dlnA mstalta length start end center mode
 0.789411 -4.0  0.598025  0.009504  1004   523  5541  3032 0
 0.414844 -3264.0  0.164393  0.009504  1259   523  6816  3669 0
 0.883007 -6.0  0.784531  0.013506   549   523  3267  1895 0
 0.868474 -5.0  0.804221  0.009504   593   523  3489  2006 0
 0.439518 -3264.0  0.122575  0.009504  1174   523  6395  3459 0
 0.334684  0.0  2.228333  0.023251   283   523  1938  1230 0
 0.508270 -7.0  0.304289  0.009504  1054   523  5794  3158 0
 0.825331 -4.0  0.627879  0.009504   927   523  5156  2839 0
 0.433584 -3264.0  0.143964  0.009504  1196   523  6504  3513 0
 0.441189  0.0  1.766379  0.023251   306   523  2051  1287 0
 0.463531 -3264.0  0.107929  0.009504  1127   523  6160  3341 0
 0.834348 -4.0  0.623055  0.009504   848   523  4763  2643 0
 0.398786 -3264.0  0.167101  0.009504  1308   523  7065  3794 0
 0.973802 -6.0  0.724793  0.023251   476   523  2905  1714 0
 0.857652 -5.0  0.690562  0.009504   704   523  4041  2282 0
 0.839113 -5.0  0.632216  0.009504   796   523  4503  2513 0
 0.304785 -38.0  2.229884  0.023251   272   523  1882  1202 0
 0.304639 -38.0  2.228443  0.023251   272   523  1884  1203 0
 0.446539 -3264.0  0.121773  0.009504  1150   523  6271  3397 0
 0.831549 -4.0  0.626200  0.009504   891   523  4979  2751 0
 0.722787 -6.0  0.998359  0.023251   361   523  2330  1426 0
 0.933471 -8.0  0.516231  0.023251   406   523  2552  1537 0
 0.461565 -3264.0  0.108711  0.009504  1111   523  6079  3301 0
 0.813181 -4.0  0.621452  0.009504   980   523  5425  2974 0
 0.920822 -6.0  0.754736  0.023251   506   523  3051  1787 0
 0.426105 -3264.0  0.153747  0.009504  1216   523  6603  3563 0
 0.831526 -4.0  0.624543  0.009504   869   523  4867  2695 0
 0.655918 -5.0  1.279110  0.023251   340   523  2221  1372 0
 0.875270 -9.0  0.710849  0.023251   384   523  2443  1483 0
 0.817800 -4.0  0.627271  0.009504   958   523  5313  2918 0
 0.475790 -34.0  1.400428  0.023251   325   523  2148  1335 0
 0.885996 -6.0  0.781606  0.023251   536   523  3204  1863 0
 0.876056 -6.0  0.797186  0.009504   571   523  3377  1950 0
 0.857108 -4.0  0.699223  0.009504   663   523  3837  2180 0
 0.839616 -5.0  0.630992  0.009504   768   523  4361  2442 0
 0.373472 -3264.0  0.160253  0.009504  1342   523  7233  3878 0
 0.973802 -6.0  0.724793  0.023251   476   525  2905  1715 0
 0.920822 -6.0  0.754736  0.023251   505   525  3051  1788 0
 0.857652 -5.0  0.690562  0.009504   703   525  4041  2283 0
 0.933476 -8.0  0.516225  0.023251   405   525  2552  1538 0
 0.875287 -9.0  0.710828  0.023251   384   525  2443  1484 0
 0.304650 -38.0  2.228224  0.023251   272   525  1884  1204 0
 0.831549 -4.0  0.626200  0.009504   891   525  4979  2752 0
 0.722824 -6.0  0.998297  0.023251   361   525  2330  1427 0
 0.475838 -34.0  1.400279  0.023251   325   525  2148  1336 0
 0.304796 -38.0  2.229664  0.023251   271   525  1882  1203 0
 0.885996 -6.0  0.781606  0.023251   536   525  3204  1864 0
 0.857108 -4.0  0.699223  0.009504   662   525  3837  2181 0
 0.426107 -3264.0  0.153747  0.009504  1216   525  6603  3564 0
 0.398788 -3264.0  0.167101  0.009504  1308   525  7065  3795 0
 0.831526 -4.0  0.624543  0.009504   868   525  4867  2696 0
 0.789411 -4.0  0.598025  0.009504  1003   525  5541  3033 0
 0.439520 -3264.0  0.122574  0.009504  1174   525  6395  3460 0
 0.817800 -4.0  0.627271  0.009504   958   525  5313  2919 0
 0.373474 -3264.0  0.160253  0.009504  1342   525  7233  3879 0
 0.839113 -5.0  0.632216  0.009504   796   525  4503  2514 0
 0.414845 -3264.0  0.164393  0.009504  1258   525  6816  3670 0
 0.813181 -4.0  0.621452  0.009504   980   525  5425  2975 0
 0.883007 -6.0  0.784530  0.013506   548   525  3267  1896 0
 0.834348 -4.0  0.623055  0.009504   848   525  4763  2644 0
 0.334687  0.0  2.228137  0.023251   283   525  1938  1231 0
 0.839616 -5.0  0.630992  0.009504   767   525  4361  2443 0
 0.868474 -5.0  0.804222  0.009504   593   525  3489  2007 0
 0.508270 -7.0  0.304289  0.009504  1054   525  5794  3159 0
 0.277161 -4740.0  0.030740  0.009504  1395   525  7499  4012 0
 0.876057 -6.0  0.797186  0.009504   570   525  3377  1951 0
 0.441229  0.0  1.766214  0.023251   305   525  2051  1288 0
 0.825331 -4.0  0.627879  0.009504   926   525  5156  2840 0
 0.446542 -3264.0  0.121773  0.009504  1149   525  6271  3398 0
 0.461567 -3264.0  0.108711  0.009504  1111   525  6079  3302 0
 0.433586 -3264.0  0.143964  0.009504  1196   525  6504  3514 0
 0.463533 -3264.0  0.107929  0.009504  1127   525  6160  3342 0
 0.655967 -5.0  1.279011  0.023251   339   525  2221  1373 0
 0.304679 -38.0  2.227972  0.023251   271   527  1884  1205 0
 0.475899 -34.0  1.400108  0.023251   324   527  2148  1337 0
 0.441273  0.0  1.766025  0.023251   305   527  2051  1289 0
 0.825331 -4.0  0.627879  0.009504   926   527  5156  2841 0
 0.876056 -6.0  0.797186  0.009504   570   527  3377  1952 0
 0.868474 -5.0  0.804221  0.009504   592   527  3489  2008 0
 0.304825 -38.0  2.229412  0.023251   271   527  1882  1204 0
 0.463535 -3264.0  0.107929  0.009504  1127   527  6160  3343 0
 0.817800 -4.0  0.627271  0.009504   957   527  5313  2920 0
 0.439522 -3264.0  0.122574  0.009504  1174   527  6395  3461 0
 0.839113 -5.0  0.632216  0.009504   795   527  4503  2515 0
 0.398790 -3264.0  0.167101  0.009504  1308   527  7065  3796 0
 0.857652 -5.0  0.690562  0.009504   703   527  4041  2284 0
 0.920822 -6.0  0.754736  0.023251   505   527  3051  1789 0
 0.508270 -7.0  0.304289  0.009504  1053   527  5794  3160 0
 0.973802 -6.0  0.724793  0.023251   476   527  2905  1716 0
 0.885996 -6.0  0.781606  0.023251   535   527  3204  1865 0
 0.789411 -4.0  0.598025  0.009504  1003   527  5541  3034 0
 0.834348 -4.0  0.623055  0.009504   847   527  4763  2645 0
 0.334688  0.0  2.227911  0.023251   282   527  1938  1232 0
 0.831549 -4.0  0.626200  0.009504   890   527  4979  2753 0
 0.839616 -5.0  0.630991  0.009504   767   527  4361  2444 0
 0.813181 -4.0  0.621452  0.009504   980   527  5425  2976 0
 0.446544 -3264.0  0.121773  0.009504  1149   527  6271  3399 0
 0.414847 -3264.0  0.164393  0.009504  1258   527  6816  3671 0
 0.656023 -5.0  1.278898  0.023251   339   527  2221  1374 0
 0.933481 -8.0  0.516220  0.023251   405   527  2552  1539 0
 0.426109 -3264.0  0.153747  0.009504  1215   527  6603  3565 0
 0.831526 -4.0  0.624543  0.009504   868   527  4867  2697 0
 0.722867 -6.0  0.998225  0.023251   361   527  2330  1428 0
 0.875306 -9.0  0.710803  0.023251   383   527  2443  1485 0
 0.461570 -3264.0  0.108711  0.009504  1110   527  6079  3303 0
 0.373476 -3264.0  0.160253  0.009504  1341   527  7233  3880 0
 0.857108 -4.0  0.699223  0.009504   662   527  3837  2182 0
 0.433588 -3264.0  0.143964  0.009504  1195   527  6504  3515 0
 0.883007 -6.0  0.784530  0.013506   548   527  3267  1897 0
 0.277159 -4740.0  0.030740  0.009504  1394   527  7499  4013 0
 0.857652 -5.0  0.690562  0.009504   702   529  4041  2285 0
 0.508270 -7.0  0.304289  0.009504  1053   529  5794  3161 0
 0.373478 -3264.0  0.160253  0.009504  1341   529  7233  3881 0
 0.461572 -3264.0  0.108711  0.009504  1110   529  6079  3304 0
 0.656084 -5.0  1.278775  0.023251   338   529  2221  1375 0
 0.839113 -5.0  0.632216  0.009504   795   529  4503  2516 0
 0.426111 -3264.0  0.153747  0.009504  1215   529  6603  3566 0
 0.825331 -4.0  0.627879  0.009504   925   529  5156  2842 0
 0.446546 -3264.0  0.121773  0.009504  1148   529  6271  3400 0
 0.813181 -4.0  0.621452  0.009504   979   529  5425  2977 0
 0.831549 -4.0  0.626200  0.009504   890   529  4979  2754 0
 0.834348 -4.0  0.623055  0.009504   847   529  4763  2646 0
 0.414850 -3264.0  0.164393  0.009504  1257   529  6816  3672 0
 0.831526 -4.0  0.624543  0.009504   868   529  4867  2698 0
 0.398792 -3264.0  0.167101  0.009504  1307   529  7065  3797 0
 0.277158 -4740.0  0.030740  0.009504  1394   529  7499  4014 0
 0.817800 -4.0  0.627271  0.009504   957   529  5313  2921 0
 0.433590 -3264.0  0.143964  0.009504  1195   529  6504  3516 0
 0.885996 -6.0  0.781605  0.023251   535   529  3204  1866 0
 0.475969 -34.0  1.399922  0.023251   324   529  2148  1338 0
 0.789411 -4.0  0.598025  0.009504  1002   529  5541  3035 0
 0.304872 -38.0  2.229138  0.023251   271   529  1882  1205 0
 0.857108 -4.0  0.699223  0.009504   662   529  3837  2183 0
 0.439524 -3264.0  0.122574  0.009504  1173   529  6395  3462 0
 0.722913 -6.0  0.998147  0.023251   360   529  2330  1429 0
 0.839616 -5.0  0.630991  0.009504   766   529  4361  2445 0
 0.441319  0.0  1.765819  0.023251   304   529  2051  1290 0
 0.334684  0.0  2.227667  0.023251   282   529  1938  1233 0
 0.876056 -6.0  0.797186  0.009504   570   529  3377  1953 0
 0.304725 -38.0  2.227700  0.023251   271   529  1884  1206 0
 0.920822 -6.0  0.754736  0.023251   504   529  3051  1790 0
 0.875327 -9.0  0.710776  0.023251   383   529  2443  1486 0
 0.973802 -6.0  0.724793  0.023251   475   529  2905  1717 0
 0.463537 -3264.0  0.107929  0.009504  1126   529  6160  3344 0
 0.933486 -8.0  0.516213  0.023251   405   529  2552  1540 0
 0.868474 -5.0  0.804221  0.009504   592   529  3489  2009 0
 0.883007 -6.0  0.784530  0.013506   548   529  3267  1898 0
 0.817800 -4.0  0.627271  0.009504   956   531  5313  2922 0
 0.813181 -4.0  0.621452  0.009504   979   531  5425  2978 0
 0.834348 -4.0  0.623055  0.009504   846   531  4763  2647 0
 0.277157 -4740.0  0.030740  0.009504  1394   531  7499  4015 0
 0.398794 -3264.0  0.167101  0.009504  1307   531  7065  3798 0
 0.439526 -3264.0  0.122574  0.009504  1173   531  6395  3463 0
 0.433592 -3264.0  0.143964  0.009504  1195   531  6504  3517 0
 0.476046 -34.0  1.399730  0.023251   323   531  2148  1339 0
 0.789411 -4.0  0.598024  0.009504  1002   531  5541  3036 0
 0.857108 -4.0  0.699223  0.009504   661   531  3837  2184 0
 0.461574 -3264.0  0.108711  0.009504  1110   531  6079  3305 0
 0.825331 -4.0  0.627879  0.009504   925   531  5156  2843 0
 0.885996 -6.0  0.781605  0.023251   535   531  3204  1867 0
