EventID,Origin Date,Origin Time,Latitude (WGS84),Longitude (WGS84),Depth,RMS,Magnitude,phases,evaluation mode,author,status,event_type,min_sta_dist,GAP,depth_uncertainty,latitude_uncertainty,longitude_uncertainty,
texnet2017jzav,5/22/2017,18:37:56,33.32336426,-97.84240723,8.656982422,0.73,2.145430234,19,manual,Bissett,final,quarry blast,37.81247325,92.27144808,3.127632967,2.019189371,1.764514477,
texnet2017jzcw,5/22/2017,19:40:06,30.65002441,-98.3001709,4.939860026,0.49,1.005392685,13,manual,Bissett,final,quarry blast,70.04541416,139.7233727,2.841984057,2.629780595,1.520354418,
texnet2017jzgf,5/22/2017,21:21:15,33.16223145,-97.7947998,12.86319987,0.47,1.819531718,17,manual,Bissett,final,quarry blast,28.68483867,96.5912539,2.391425352,2.529462019,1.396733861,
texnet2017kcow,5/24/2017,17:08:09,29.49279785,-99.12414551,0.048909505,0.57,1.366047165,10,manual,Dino,confirmed,quarry blast,15.70345976,188.2037377,3.336341043,2.359696374,8.082991975,
texnet2017kcvi,5/24/2017,20:24:25,33.26934814,-97.82318115,1.442830404,0.54,2.44320444,23,manual,Bissett,final,quarry blast,34.11356064,86.47129851,2.011729305,1.118318022,1.225212484,
texnet2017kghv,5/26/2017,18:09:07,30.93475342,-99.22393799,0.024454753,0.57,1.472421005,16,manual,Bissett,final,quarry blast,42.87465068,86.26845328,1.306913142,1.622328618,2.035136558,
texnet2017kgig,5/26/2017,18:20:12,33.24920654,-97.60162354,21.59354655,0.44,2.43953657,26,manual,Bissett,final,quarry blast,31.08301802,97.75211022,2.068817429,1.373885586,1.930700264,
texnet2017knuo,5/30/2017,20:30:54,33.16223145,-97.80944824,14.23266602,0.28,2.193508322,16,manual,Bissett,final,quarry blast,27.49080704,111.8854646,1.850051411,2.050789892,1.307294708,
texnet2017kpqt,5/31/2017,20:52:06,32.47009277,-96.78771973,12.56974284,0.57,1.893820597,25,manual,Bissett,final,quarry blast,10.36531132,275.1156127,4.414885785,2.149217882,2.981735983,
texnet2017krlr,6/1/2017,20:34:01,33.28674316,-97.78015137,10.80900065,0.58,1.99545029,18,manual,Bissett,final,quarry blast,38.25712802,97.30408126,3.987900344,1.541903005,2.43330753,
texnet2017ksyc,6/2/2017,15:58:47,29.5916748,-98.68103027,8.461344401,0.26,1.705060944,11,manual,Bissett,final,quarry blast,58.51915435,168.1390773,3.160476676,2.319098848,2.915792915,
texnet2017ktac,6/2/2017,16:59:46,33.31123352,-97.88220978,0,1.62,2.252647467,16,manual,Dino,confirmed,quarry blast,34.65094172,103.5900269,0,1.46440765,1.775794593,
texnet2017lchw,6/7/2017,19:08:22,32.4041748,-96.95617676,10.71118164,0.29,1.598246337,14,manual,Bissett,final,quarry blast,10.28024587,235.9694802,4.054076186,2.744096893,1.7131643,
texnet2017ldvj,6/8/2017,15:07:31,32.12197113,-97.50376892,3.371119738,0.45,1.702569809,8,manual,Dino,confirmed,quarry blast,15.18445614,138.1779156,3.142270089,2.141601896,4.644448089,
texnet2017lefh,6/8/2017,20:06:04,32.27874756,-100.4489136,0.024454753,0.61,2.027976688,20,manual,Bissett,final,quarry blast,75.70472967,66.1225361,2.195277142,1.439050396,1.661552174,
texnet2017lphn,6/14/2017,21:43:28,33.28674316,-97.82043457,0.048909505,0.96,2.381654932,15,manual,Bissett,final,quarry blast,35.7509459,132.5847051,3.326085351,2.759918393,3.593376254,
texnet2017lssb,6/16/2017,18:28:33,33.16955566,-97.81677246,0.048909505,0.43,2.045332096,12,manual,Bissett,final,quarry blast,27.32224956,192.870138,5.842367172,2.329795906,1.517747023,
texnet2017lyip,6/19/2017,20:30:26,33.28582764,-97.83416748,0.024454753,0.45,2.343037268,16,manual,Bissett,final,quarry blast,43.41894533,103.5516154,1.648721691,1.283847413,1.744366925,
texnet2017lztn,6/20/2017,15:10:27,33.28340912,-97.87207794,0,1.88,2.160686923,16,manual,Dino,confirmed,quarry blast,32.51621436,111.8443069,0,2.027739675,1.909681764,
texnet2017mbom,6/21/2017,14:52:21,32.41241455,-100.6576538,0.024454753,0.64,1.505083104,16,manual,chastity,final,quarry blast,56.07673947,94.21896103,1.763904974,1.149709694,1.030199658,
texnet2017mbrh,6/21/2017,16:18:53,33.26386642,-97.74035645,0,1.95,2.14313641,22,manual,chastity,final,quarry blast,36.45492782,96.70100021,0,1.368867637,1.732596302,
texnet2017mbtb,6/21/2017,17:12:02,33.49868393,-101.6787643,0,0.8,1.76335622,10,manual,Dino,confirmed,quarry blast,50.78476594,136.6565857,0,2.344315728,2.604927796,
texnet2017mbui,6/21/2017,17:49:42,32.49938965,-96.95617676,6.504964193,0.65,2.244204195,29,manual,chastity,final,quarry blast,5.875738323,132.3452689,2.470194339,2.473858386,1.570448556,
texnet2017mbxu,6/21/2017,19:35:17,33.31970215,-97.75085449,2.103108724,0.72,2.049336044,20,manual,chastity,final,quarry blast,42.79485213,134.2600423,2.672535049,1.634128289,3.226107849,
texnet2017mduo,6/22/2017,20:13:27,33.11828613,-97.82043457,14.23266602,0.51,2.105143091,11,manual,Bissett,final,quarry blast,24.46291031,148.954795,2.693118426,2.919824176,1.661288582,
texnet2017mfjh,6/23/2017,16:48:03,33.26447678,-97.72728729,0,2.18,2.141606572,13,manual,Dino,confirmed,quarry blast,35.9632989,131.1081848,0,2.514478813,1.843003914,
texnet2017mkzh,6/26/2017,18:34:16,32.27142334,-100.4470825,1.247192383,0.53,1.974596472,22,manual,Bissett,final,quarry blast,75.41965441,66.49318871,1.73801586,1.265672996,1.416506578,
texnet2017mmxw,6/27/2017,20:07:34,29.46075439,-99.28253174,3.301391602,0.38,1.497447201,14,manual,Bissett,final,quarry blast,7.579539359,83.54745598,1.809729214,1.220261409,2.003980442,
texnet2017mopy,6/28/2017,18:24:30,32.78137207,-97.77282715,18.14542643,0.13,2.047063304,8,manual,Bissett,final,quarry blast,29.34649978,170.4571105,6.476749628,2.416898177,1.654088589,
texnet2017moqd,6/28/2017,18:29:08,33.27209473,-97.8717041,10.41772461,0.43,2.391187116,12,manual,Bissett,final,quarry blast,31.55600755,128.1878572,5.724902636,2.270145673,1.580757528,
texnet2017mqmm,6/29/2017,18:54:54,30.65745926,-98.3026886,0,0.72,1.536795032,9,manual,Dino,confirmed,quarry blast,70.17862584,138.8479996,0,2.542547938,2.088760238,
texnet2017mqqk,6/29/2017,20:53:56,32.49985504,-96.95246124,3.464067698,0.76,2.053269772,10,manual,Bissett,final,quarry blast,5.571219869,132.7275314,2.32183069,2.305588265,1.779362331,
texnet2017msia,6/30/2017,18:56:09,33.25378418,-97.7142334,16.09122721,0.68,2.403893913,23,manual,Bissett,final,quarry blast,34.58042822,111.0045573,2.609725024,2.190378831,1.810716352,
texnet2017nbkl,7/5/2017,18:21:36,32.33158493,-97.75608826,0,0.74,1.847765571,21,manual,Dino,confirmed,quarry blast,30.70010131,82.43632507,0,1.794794022,1.188541658,
texnet2017nfau,7/7/2017,18:02:11,32.62573242,-97.033638,0,1.27,2.456637535,5,manual,Tricia,reported,quarry blast,13.93315495,180.5674286,0,3.426968063,3.416185361,
texnet2017nffp,7/7/2017,20:28:23,33.24883652,-97.83433533,0,1.34,2.573914823,11,manual,Dino,confirmed,quarry blast,31.68597629,125.7062454,0,2.653822204,2.295216903,
texnet2017nfhz,7/7/2017,21:41:18,33.24925613,-97.79548645,0,1.98,2.294676327,13,manual,Dino,confirmed,quarry blast,37.7953037,133.6750488,0,1.561464195,2.073170198,
texnet2017nkoj,7/10/2017,18:35:43,33.16012955,-97.79733276,0,1.86,2.267016082,15,manual,Dino,confirmed,quarry blast,28.37570799,96.55452728,0,2.281568427,1.437423206,
texnet2017nkpx,7/10/2017,19:22:13,33.30047607,-97.75360107,0.024454753,0.85,1.992744666,19,manual,Bissett,final,quarry blast,40.86005865,138.680433,7.297683416,1.465730672,3.004619685,
texnet2017nkqi,7/10/2017,19:34:49,31.13616943,-97.67303467,0.415730794,0.38,1.784942198,13,manual,Dino,confirmed,quarry blast,40.25085013,155.7809922,2.221253334,1.366961245,2.818514621,
texnet2017nogx,7/12/2017,19:21:36,30.94615364,-99.17790222,0,0.69,1.637241863,10,manual,Dino,confirmed,quarry blast,39.64745263,159.0643635,0,1.894897488,3.204938422,
texnet2017nqhu,7/13/2017,22:05:02,33.20617676,-97.77648926,4.059488932,0.54,2.234083912,20,manual,Bissett,final,quarry blast,32.69813963,87.09712223,2.685065382,2.24582848,1.716430247,
texnet2017nrwa,7/14/2017,18:25:13,32.75756836,-98.3605957,9.097167969,0.03,2.018197434,5,manual,Dino,reviewed,quarry blast,7.534660763,300.7868475,53.62369144,87.94085049,111.7548311,
texnet2017nxmk,7/17/2017,20:21:55,33.29148483,-97.82598877,0,1.02,2.240113032,13,manual,Dino,confirmed,quarry blast,35.78056545,93.08673096,0,1.799423533,1.883825955,
texnet2017obap,7/19/2017,18:57:36,33.28308105,-97.79846191,6.309326172,0.48,2.405654991,19,manual,Bissett,final,quarry blast,36.79058552,95.1495741,4.237247927,1.910729085,1.434519887,
