EventID,Evaluation Status,Origin Date,Origin Time,Local Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Minimum Station Distance (km),Last Updated
texnet2024sqhv,final,2024-09-22,01:45:47,2.1,,31.6523,1.1,-104.4639,0.6,5.7,7.0,0.9,0.2,14,10,TXNet,earthquake,Western Texas,,,,,,,,,,12.196073053994223,3.048216231123148,2024-09-23 13:59:33
texnet2024sqgb,final,2024-09-22,00:51:03,1.8,,32.3996,0.3,-102.0571,0.2,8.6,9.5,0.6,0.1,39,29,TXNet,earthquake,Western Texas,,,,,,,,,,37.98219554158393,5.144356292853985,2024-09-23 18:24:51
texnet2024sqdg,final,2024-09-21,23:24:37,1.6,,31.6519,0.5,-104.4536,0.5,6.4,7.7,0.6,0.3,32,16,TXNet,earthquake,Western Texas,,,,,,,,,,108.8059785652431,2.1031855017244165,2024-09-23 15:57:51
texnet2024sqco,final,2024-09-21,23:00:51,1.9,,31.6851,0.4,-104.3565,0.3,6.6,7.7,0.8,0.1,33,24,TXNet,earthquake,Western Texas,,,,,,,,,,31.463867248721485,7.847072361692961,2024-09-23 14:09:50
texnet2024sqbr,final,2024-09-21,22:30:19,1.4,,32.4115,0.4,-102.0625,0.3,8.4,9.3,0.8,0.1,33,18,TXNet,earthquake,Western Texas,,,,,,,,,,49.07341058505688,4.574944339138042,2024-09-24 19:43:18
texnet2024spuj,final,2024-09-21,18:56:38,2.8,,31.6181,1.4,-104.5187,0.8,8.2,9.5,1.1,0.3,24,18,TXNet,earthquake,Western Texas,,,,,,,,,,41.070185927672675,5.875044258560084,2024-09-23 09:12:07
texnet2024spsr,final,2024-09-21,18:04:07,1.6,,32.4124,0.4,-102.0485,0.3,8.4,9.3,0.6,0.1,26,16,TXNet,earthquake,Western Texas,,,,,,,,,,40.29559179552649,5.886862391671621,2024-09-23 18:32:28
texnet2024spsq,final,2024-09-21,18:02:23,1.8,,31.6199,1.0,-104.5165,0.8,8.5,9.8,0.9,0.1,22,17,TXNet,earthquake,Western Texas,,,,,,,,,,46.22127357326242,5.620623222456501,2024-09-23 14:20:22
texnet2024spry,final,2024-09-21,17:40:40,1.8,,31.6681,0.4,-104.4520,0.3,4.6,5.9,0.5,0.1,26,18,TXNet,earthquake,Western Texas,,,,,,,,,,49.97452035474011,2.311097440338818,2024-09-23 15:45:23
texnet2024spql,final,2024-09-21,16:58:24,1.7,,31.6769,0.4,-104.4178,0.3,8.4,9.6,0.7,0.1,29,25,TXNet,earthquake,Western Texas,,,,,,,,,,47.22419998971859,2.671958896163235,2024-09-23 14:46:56
texnet2024sppg,final,2024-09-21,16:23:46,1.5,,32.1268,0.3,-102.2050,0.4,6.6,7.5,0.8,0.1,38,24,TXNet,earthquake,Western Texas,,,,,,,,,,55.99867715285752,3.603134931619243,2024-09-23 17:56:07
texnet2024spna,final,2024-09-21,15:16:19,2.9,,28.5745,0.6,-98.4199,0.4,7.3,7.3,1.4,0.1,17,17,TXNet,earthquake,Southern Texas,,,,,,,,,,41.50072106363533,15.149161459528063,2024-09-21 15:34:13
texnet2024splk,final,2024-09-21,14:26:44,1.3,,31.6068,0.7,-104.5183,0.5,8.6,9.9,0.8,0.1,24,17,TXNet,earthquake,Western Texas,,,,,,,,,,38.71265101789319,7.075448535144707,2024-09-23 21:00:21
texnet2024sphd,final,2024-09-21,12:16:46,1.0,,32.1323,0.4,-102.2136,0.4,5.8,6.7,1.8,0.2,38,21,TXNet,earthquake,Western Texas,,,,,,,,,,64.22182835973034,4.4049229389126205,2024-09-23 20:38:24
texnet2024spgo,final,2024-09-21,11:58:55,1.8,,32.1451,0.6,-102.2136,0.4,6.6,7.5,0.9,0.1,28,18,TXNet,earthquake,Western Texas,,,,,,,,,,27.673362467406857,4.716389129703198,2024-09-23 18:13:02
texnet2024spfr,final,2024-09-21,11:31:00,1.7,,32.1359,0.4,-102.2050,0.3,7.3,8.2,0.9,0.1,48,32,TXNet,earthquake,Western Texas,,,,,,,,,,32.452729553062404,3.6543555656082427,2024-09-23 15:12:50
texnet2024spdq,final,2024-09-21,10:30:45,1.4,,32.4106,0.4,-102.0614,0.3,8.6,9.5,0.8,0.1,27,22,TXNet,earthquake,Western Texas,,,,,,,,,,32.832978133460216,7.867503286535961,2024-09-23 17:17:13
texnet2024spbr,final,2024-09-21,09:27:00,2.9,,32.4115,0.3,-102.0625,0.2,8.1,8.9,0.6,0.1,50,38,TXNet,earthquake,Western Texas,,,,,,,,,,46.55533834002714,4.574944339138042,2024-09-21 09:52:20
texnet2024spbn,final,2024-09-21,09:25:12,2.6,,32.4088,0.4,-102.0549,0.3,5.9,6.8,1.5,0.1,22,14,TXNet,earthquake,Western Texas,,,,,,,,,,23.736212559708026,8.172172167273724,2024-09-23 10:26:00
texnet2024spar,final,2024-09-21,09:00:42,2.0,,31.6285,0.8,-104.5034,0.7,8.3,9.6,0.8,0.2,25,14,TXNet,earthquake,Western Texas,,,,,,,,,,83.61493703509795,4.4681298811619845,2024-09-23 20:19:56
texnet2024soxt,final,2024-09-21,07:33:14,1.3,,31.6210,0.7,-104.5233,0.6,7.9,9.3,0.8,0.2,31,19,TXNet,earthquake,Western Texas,,,,,,,,,,46.370877134651224,5.709388625217348,2024-09-23 20:07:39
texnet2024soxs,final,2024-09-21,07:31:57,1.3,,31.6284,0.9,-104.5207,0.7,7.7,9.1,0.8,0.1,25,16,TXNet,earthquake,Western Texas,,,,,,,,,,70.67746158655689,4.8560552392351095,2024-09-23 18:49:42
texnet2024souy,final,2024-09-21,06:07:54,1.1,,32.4115,0.3,-102.0582,0.3,6.9,7.8,0.7,0.1,52,29,TXNet,earthquake,Western Texas,,,,,,,,,,187.61404963346703,4.976000639048618,2024-09-23 18:32:55
texnet2024sotk,final,2024-09-21,05:19:56,1.7,,31.6273,1.0,-104.5188,0.9,7.8,9.1,1.0,0.2,29,18,TXNet,earthquake,Western Texas,,,,,,,,,,82.1836008938459,4.907454353910324,2024-09-23 17:50:48
texnet2024soog,final,2024-09-21,02:45:28,1.6,,31.6136,0.3,-104.0012,0.3,8.5,9.5,0.4,0.1,25,16,TXNet,earthquake,Western Texas,,,,,,,,,,21.271776277571647,1.7100273100763317,2024-09-23 14:28:25
texnet2024sogz,final,2024-09-20,23:01:28,1.4,,31.6224,0.7,-104.5222,0.5,8.4,9.8,0.8,0.2,25,16,TXNet,earthquake,Western Texas,,,,,,,,,,70.35723463770468,5.528708036731991,2024-09-23 17:27:12
texnet2024sogn,final,2024-09-20,22:50:32,1.9,,32.4417,0.3,-102.0571,0.3,9.4,10.3,0.7,0.1,57,32,TXNet,earthquake,Western Texas,,,,,,,,,,58.46766369519601,6.303581820932667,2024-09-23 15:57:11
texnet2024soao,final,2024-09-20,19:48:32,1.0,,32.3969,0.3,-101.7195,0.3,5.6,6.4,0.9,0.2,52,27,TXNet,earthquake,Western Texas,,,,,,,,,,77.42712636039053,0.697232395797016,2024-09-23 15:12:34
texnet2024snxx,final,2024-09-20,18:29:29,1.8,,31.6087,0.3,-103.9687,0.3,8.8,9.8,0.6,0.1,33,17,TXNet,earthquake,Western Texas,,,,,,,,,,17.87042309711738,4.815569656664678,2024-09-20 20:06:38
texnet2024snvs,final,2024-09-20,17:22:36,1.6,,31.7075,0.7,-101.7162,1.0,9.7,10.5,1.5,0.1,12,9,TXNet,earthquake,Western Texas,,,,,,,,,,30.429065741050042,10.637231069408813,2024-09-23 14:23:20
texnet2024snux,final,2024-09-20,16:58:55,3.1,,31.7047,0.4,-101.7152,0.4,9.8,10.6,0.8,0.1,33,24,TXNet,earthquake,Western Texas,,,,,,,,,,58.8646545387013,10.95343681952775,2024-09-20 17:21:24
texnet2024snuu,final,2024-09-20,16:54:39,1.8,,32.4124,0.3,-102.0592,0.2,8.6,9.5,0.6,0.1,65,37,TXNet,earthquake,Western Texas,,,,,,,,,,47.181108062993694,4.885099641870351,2024-09-23 13:37:28
texnet2024snqq,final,2024-09-20,14:50:13,1.2,,32.1341,0.3,-102.2114,0.3,6.3,7.2,1.0,0.1,37,24,TXNet,earthquake,Western Texas,,,,,,,,,,38.45573397794959,4.222162515114506,2024-09-23 12:59:37
texnet2024snpi,final,2024-09-20,14:07:26,2.3,,31.6175,0.5,-104.3678,0.4,6.9,8.1,0.9,0.1,46,39,TXNet,earthquake,Western Texas,,,,,,,,,,42.234542658079164,7.460765468952155,2024-09-20 19:25:08
texnet2024sndj,final,2024-09-20,08:06:56,1.9,,32.1469,0.4,-102.2222,0.4,6.4,7.3,0.6,0.1,32,26,TXNet,earthquake,Western Texas,,,,,,,,,,30.874062994660303,5.543545576689558,2024-09-20 14:47:31
texnet2024snbt,final,2024-09-20,07:17:51,2.5,,32.4179,0.2,-102.0635,0.2,8.7,9.5,0.5,0.1,64,39,TXNet,earthquake,Western Texas,,,,,,,,,,43.65232983444976,4.593462260027666,2024-09-20 13:34:02
texnet2024smsx,final,2024-09-20,02:49:31,1.7,,31.6644,1.4,-104.3286,1.2,6.3,7.5,2.7,0.2,17,13,TXNet,earthquake,Western Texas,,,,,,,,,,16.318865224058577,6.0888365704992164,2024-09-20 09:21:08
texnet2024smoj,final,2024-09-20,00:31:34,2.0,,31.9842,0.2,-103.8772,0.3,7.8,8.7,0.7,0.2,61,33,TXNet,earthquake,Western Texas,,,,,,,,,,42.69169544797299,5.713601846730452,2024-09-20 11:41:17
texnet2024smka,final,2024-09-19,22:16:14,1.7,,28.8364,2.0,-98.1280,2.0,3.9,4.0,2.3,0.3,12,11,TXNet,earthquake,Southern Texas,,,,,,,,,,52.41298102006316,18.908538550212977,2024-09-20 08:12:00
texnet2024smjs,final,2024-09-19,22:09:10,2.1,,32.4142,0.7,-102.0614,0.5,8.6,9.4,1.7,0.1,43,30,TXNet,earthquake,Western Texas,,,,,,,,,,44.085700388513004,8.15963022958342,2024-09-20 13:51:05
texnet2024smjb,final,2024-09-19,21:51:03,1.4,,32.4051,0.4,-102.0571,0.3,6.7,7.6,0.7,0.1,40,27,TXNet,earthquake,Western Texas,,,,,,,,,,65.7832219778391,5.070314600469693,2024-09-20 15:05:45
texnet2024smhq,final,2024-09-19,21:07:54,1.3,,32.4106,0.4,-102.0592,0.3,8.2,9.1,0.8,0.2,40,24,TXNet,earthquake,Western Texas,,,,,,,,,,43.656842284886636,4.868440771357638,2024-09-20 20:27:42
