EventID,Evaluation Status,Origin Date,Origin Time,Magnitude,Moment Magnitude,Latitude (WGS84),Latitude Error (km),Longitude (WGS84),Longitude Error (km),Depth of Hypocenter (Km.  Rel to MSL),Depth of Hypocenter (Km. Rel to Ground Surface),Depth Uncertainty (Km. Corresponds to 1 st dev),RMS,UsedPhaseCount,UsedStationCount,Author,EventType,LocationName,Nodal Plane 1 - Strike,Nodal Plane 1 - Dip,Nodal Plane 1 - Rake,Nodal Plane 2 - Strike,Nodal Plane 2 - Dip,Nodal Plane 2 - Rake,Focal Mechanism Method ID,Focal Mechanism - Azimuthal Gap,Focal Mechanism - Misfit,Maximum Station Distance (km),Last Updated
texnet2018drun,final,2018-02-22,10:17:38,3.9,,32.9251,0.9,-100.8674,0.6,3.7,4.4,1.5,0.2,28,17,TXNet,earthquake,Western Texas,211,89,-77,307,13,-174,first motion,,,211.60540243836,2018-02-22 18:11:48
texnet2018drqx,final,2018-02-22,08:27:35,2.3,,32.9132,0.8,-100.8706,0.6,5.7,6.4,1.1,0.2,22,12,TXNet,earthquake,Western Texas,106,83,11,15,79,173,first motion,,,113.69222998622999,2018-02-22 19:04:38
texnet2018cdwi,final,2018-01-31,13:48:08,1.5,,32.8391,0.8,-100.9317,0.6,4.4,5.1,1.0,0.1,25,15,TXNet,earthquake,Western Texas,217,46,-90,37,44,-90,first motion,,,237.77486414261998,2019-07-30 19:39:34
texnet2018bxvu,final,2018-01-28,06:41:24,1.2,,32.8555,0.7,-100.9488,0.6,3.8,4.6,1.2,0.1,23,13,TXNet,earthquake,Western Texas,224,46,-86,39,44,-94,first motion,,,124.881103990755,2018-03-07 21:21:25
texnet2018aqeb,final,2018-01-09,20:14:04,3.0,,29.0030,1.0,-97.9174,1.4,4.1,4.2,2.2,0.4,19,13,TXNet,earthquake,Central Texas,230,47,-73,25,45,-108,Moment Tensor,219.7249176,0.2857144796,200.583956746845,2019-08-01 15:01:07
texnet2018alqt,final,2018-01-07,08:56:56,2.8,,28.8739,1.4,-98.2204,1.0,4.2,4.3,2.0,0.5,25,16,TXNet,earthquake,Southern Texas,212,50,-105,54,42,-73,Moment Tensor,238.23982,0.7040042357,277.18308334584003,2019-08-01 15:19:27
texnet2017xfnl,final,2017-11-27,07:48:11,2.7,,31.1023,0.7,-103.5054,1.0,3.9,4.8,1.6,0.4,35,24,TXNet,earthquake,Western Texas,275,84,155,8,65,7,first motion,,,197.55146816747998,2019-05-24 16:03:43
texnet2017xfem,final,2017-11-27,03:16:16,1.5,,32.8372,0.7,-100.9274,0.7,4.9,5.6,1.2,0.1,20,11,TXNet,earthquake,Western Texas,189,69,-118,65,34,-39,first motion,,,92.6790285770685,2019-07-24 01:42:28
texnet2017wpzb,final,2017-11-18,19:29:06,2.9,,30.9029,1.0,-103.8787,1.0,6.0,7.2,1.5,0.4,30,21,TXNet,earthquake,Western Texas,97,86,-170,6,80,-4,first motion,,,176.364279797265,2019-05-24 15:58:16
texnet2017vspl,final,2017-11-06,00:31:11,1.8,,32.9178,0.8,-100.8738,0.7,6.9,7.6,1.0,0.1,21,11,TXNet,earthquake,Western Texas,98,81,15,6,75,171,first motion,,,114.12678360446999,2017-11-09 22:14:15
texnet2017tmvl,final,2017-10-05,09:38:24,2.2,,32.8464,0.6,-100.9124,0.6,4.6,5.3,0.9,0.2,25,13,TXNet,earthquake,Western Texas,186,51,-126,56,51,-54,first motion,,,173.56359632093998,2017-10-19 14:34:43
texnet2017tbkd,final,2017-09-29,03:27:26,1.9,,32.9068,0.8,-100.8716,0.7,5.4,6.1,1.3,0.1,18,10,TXNet,earthquake,Western Texas,107,87,21,16,69,177,first motion,,,84.6603401013405,2017-10-11 18:29:21
texnet2017sygg,final,2017-09-27,10:05:03,2.3,,31.1615,0.9,-103.2732,0.8,6.3,7.1,2.4,0.4,29,20,TXNet,earthquake,Western Texas,212,53,75,56,40,108,Moment Tensor,72.10360023,0.9048896513,207.25953800832,2017-11-01 21:35:27
